geneID	ChIP_region	ChIP_factor	ChIP_direction	Gd7	Toll10b	Toll9
FBgn0003963	Region112	Gd7	Up	3.7282684796918	-2.20027206385482	-2.82744557362077
FBgn0031375	Region212	Toll10b	Down	2.51516044330397	-2.76130971341924	-0.198485629491748
FBgn0000490	Region249	Gd7	Up	3.11853194721146	-2.15464050209354	-1.94452577296276
FBgn0000490	Region250	Gd7	Up	2.5997779127463	-2.5467694643914	-0.616609005075562
FBgn0000490	Region254	Gd7	Up	2.98379124480501	-2.43327450776838	-1.36302534052235
FBgn0031745	Region488	Gd7	Up	3.37647727244812	-2.49841868126907	-1.88379578030067
FBgn0029123	Region704	Toll9	Up	-2.1111987798369	-0.797808369466688	4.33624630083381
FBgn0029123	Region706	Toll9	Up	-1.40492363924288	-0.16618927235846	2.39750123168943
FBgn0029123	Region708	Toll9	Up	-2.63842598617872	0.421164360831886	3.52114253229377
FBgn0261648	Region869	Gd7	Up	3.48433927601409	-2.83699664838374	-1.59766760167134
FBgn0085424	Region941	Toll9	Up	-2.99338546840473	0.52509519685119	3.93159685751386
FBgn0023407	Region996	Gd7	Up	2.27382361122742	-1.37506307731839	-1.68006507127128
FBgn0023407	Region998	Gd7	Up	2.14006449589507	-1.1177748994161	-1.8173093900686
FBgn0023407	Region999	Gd7	Up	2.07287113065355	-1.25286170000956	-1.53249446479443
FBgn0003448	Region1124	Gd7	Down	-3.7165045140792	2.02035821337474	3.05001155236917
FBgn0003448	Region1125	Gd7	Down	-3.88378895739623	2.3521496344159	2.86496309435424
FBgn0003448	Region1126	Gd7	Down	-2.34048565345637	1.00980214206162	2.27209962707466
FBgn0015609	Region1246	Toll10b	Up	-2.44091008150619	2.55544821024257	0.359036501320471
FBgn0015609	Region1249	Toll10b	Up	-1.08775729819729	2.38872121101263	-1.51277146182355
FBgn0015609	Region1251	Toll10b	Up	-2.17979936979708	4.50407414211947	-2.65306029892187
FBgn0015609	Region1255	Toll10b	Up	-3.1672593815031	4.99436993597676	-1.78044692377143
FBgn0032682	Region1282	Toll10b	Down	1.87478117087419	-2.72533559930639	0.744799552041381
FBgn0032693	Region1291	Toll10b	Up	-3.68394867420081	5.12966127270682	-1.16157375879084
FBgn0003896	Region1311	Gd7	Up	2.42783776222871	-1.21898781955795	-2.12738401573556
FBgn0003896	Region1313	Gd7	Up	4.39710819408815	-3.30282403144565	-2.38739099774133
FBgn0003896	Region1314	Gd7	Up	4.50986738185557	-3.2450613958464	-2.63926752607819
FBgn0024189	Region1941	Toll10b	Up	-0.968943861517593	1.97114876627951	-1.13787982269739
FBgn0024189	Region1942	Toll10b	Up	-3.7359274409986	5.82885877894857	-2.01683726065235
FBgn0004360	Region2007	Gd7	Up	3.28452003921635	-2.89821943640536	-1.20637477253423
FBgn0011656	Region2036	Toll10b	Up	-0.886151847743104	2.1857464490114	-1.55325390798713
FBgn0011656	Region2037	Toll10b	Up	-4.04717092013023	7.77148543457473	-4.1347916717106
FBgn0011656	Region2038	Toll10b	Up	-0.470325304015412	1.94948271517276	-1.88084084620314
FBgn0011656	Region2039	Toll10b	Up	-2.86668250704119	4.52909787773029	-1.62312335689328
FBgn0011656	Region2043	Toll10b	Up	-1.04005633858782	2.21995680047541	-1.36076411434556
FBgn0262169	Region2058	Toll9	Up	-1.97782829021091	0.108479559433722	2.91687749516309
FBgn0033483	Region2061	Gd7	Up	3.53585451636462	-2.93016367694615	-1.55273752290796
FBgn0033483	Region2062	Gd7	Up	2.52561616824191	-1.25054946953494	-2.23652467447873
FBgn0033483	Region2063	Gd7	Up	2.34961147126324	-1.0836582118211	-2.18738650071909
FBgn0033483	Region2064	Gd7	Up	2.23687884839175	-1.37277730002743	-1.6259265829212
FBgn0033483	Region2065	Gd7	Up	3.42630296602793	-2.52471870063953	-1.92573812999624
FBgn0003396	Region2157	Gd7	Up	2.38223648486952	-1.42566997602739	-1.78018164518156
FBgn0003396	Region2163	Gd7	Up	2.15591283033535	-1.13237918922698	-1.82230070512904
FBgn0033638	Region2217	Toll10b	Up	-1.61555419739344	2.16408405613735	-0.395009026624876
FBgn0033638	Region2220	Toll10b	Up	-1.82661816409608	3.17205792240257	-1.41721390687243
FBgn0033652	Region2234	Toll9	Up	-0.556114734379392	-1.28178698252394	2.57638827078747
FBgn0003326	Region2306	Toll9	Up	-0.615384229731131	-0.961860619483746	2.23999106880638
FBgn0003326	Region2309	Toll9	Up	-2.24261813120451	0.674172357237308	2.56975561617557
FBgn0003326	Region2310	Toll9	Up	-2.91207863615172	0.934395051915822	3.25795205100714
FBgn0284250	Region2469	Gd7	Up	2.91601361953259	-2.15863933937739	-1.62563709278927
FBgn0029082	Region2509	Toll9	Down	2.02030935643365	-0.585075916427354	-2.34481702747238
FBgn0029082	Region2511	Toll9	Down	1.72007917992814	-0.384817015293762	-2.14801003867059
FBgn0265991	Region2567	Toll10b	Up	-1.30343813322954	2.56456827313502	-1.41419261181997
FBgn0040505	Region2642	Gd7	Up	3.1412143316063	-2.02592034869697	-2.15190871367852
FBgn0050115	Region2786	Toll10b	Up	-1.23649868820935	2.52168092043052	-1.46043147500805
FBgn0034501	Region2916	Gd7	Up	2.53204271252381	-1.34636786518028	-2.11824035991449
FBgn0000044	Region2960	Toll10b	Up	-0.759957047825948	1.96542691112937	-1.45377374399178
FBgn0034590	Region2979	Gd7	Up	2.20921703394463	-1.49074507954247	-1.42522444404906
FBgn0000395	Region2997	Gd7	Up	2.19495379011599	-1.02725781365676	-2.02342758112526
FBgn0000395	Region2998	Gd7	Up	2.97701521675346	-1.47879270601949	-2.62991847882709
FBgn0000395	Region2999	Gd7	Up	2.61125524789435	-1.792048275962	-1.64442205311464
FBgn0000395	Region3001	Gd7	Up	2.41024649954542	-1.82733971125367	-1.28599158214917
FBgn0000395	Region3002	Gd7	Up	4.02953255509378	-2.48438715607898	-2.9136284307938
FBgn0260866	Region3092	Gd7	Down	-2.28832254860913	1.27982854628306	1.82996463979536
FBgn0003900	Region3124	Toll10b	Up	-2.10084863264182	3.18195117598655	-1.00589293817233
FBgn0003900	Region3126	Toll10b	Up	-1.17155990947442	1.94858779858482	-0.793998139591161
FBgn0003900	Region3127	Toll10b	Up	-1.09672731516937	3.16425258958847	-2.53677839860691
FBgn0003900	Region3128	Toll10b	Up	-2.30422157714149	5.25794939315479	-3.46934279250116
FBgn0284252	Region3231	Toll9	Up	-0.774507626144977	-1.25737803972475	2.88183565296163
FBgn0000157	Region3258	Gd7	Up	3.38612011954036	-3.29322855781453	-0.83503008445315
FBgn0000157	Region3260	Gd7	Up	3.87215475740373	-2.82128149688281	-2.21911160235857
FBgn0001148	Region3282	Gd7	Down	-2.07477867784023	1.73070701657131	0.895946960369996
FBgn0004635	Region3447	Toll10b	Up	-2.52370214253544	3.70215914495904	-1.04742970130056
FBgn0035257	Region3475	Gd7	Up	3.3115716929372	-1.98417236675428	-2.47152578731787
FBgn0052485	Region3547	Gd7	Up	2.46835813319584	-1.96881276395201	-1.18662599055771
FBgn0014388	Region3593	Toll10b	Up	-2.54076738357459	4.34298968785619	-1.87863345467026
FBgn0004880	Region3624	Gd7	Down	-2.54445540120366	2.24521064523544	0.934535593505434
FBgn0035558	Region3665	Toll10b	Up	-3.30178176073727	5.80464395784024	-2.65657094110072
FBgn0268063	Region3825	Toll10b	Up	-2.54788565984451	4.65032416490109	-2.2789189691324
FBgn0262579	Region3846	Gd7	Up	4.13909131287344	-3.61342484864404	-1.57225429811372
FBgn0262719	Region3875	Gd7	Up	2.46409642298989	-1.09210516798601	-2.35332649396395
FBgn0035954	Region3915	Gd7	Up	2.76747025987348	-2.22251003354549	-1.31018541551365
FBgn0035956	Region3920	Gd7	Up	3.53065532006156	-2.49708106437208	-2.1242829652156
FBgn0035956	Region3921	Gd7	Up	3.6503458267545	-2.71773508583676	-2.01428527396756
FBgn0035956	Region3923	Gd7	Up	3.96268739470139	-3.05222153075551	-2.05020618462662
FBgn0035956	Region3925	Gd7	Up	3.83323210820414	-3.04626863275688	-1.85775145528567
FBgn0035956	Region3926	Gd7	Up	2.38153464970525	-1.50979812539741	-1.66650630389211
FBgn0035956	Region3927	Gd7	Up	3.79035120917524	-2.40684179830468	-2.64710905764379
FBgn0035956	Region3928	Gd7	Up	3.25623179630726	-2.0490371795542	-2.29904043417728
FBgn0028789	Region3929	Gd7	Up	2.65071235527549	-2.40035423632003	-0.89141285720153
FBgn0028789	Region3930	Gd7	Up	3.88462070775314	-2.72844866265096	-2.36264952618345
FBgn0028789	Region3931	Gd7	Up	3.64875732137341	-2.76044883648859	-1.95466211930534
FBgn0028789	Region3932	Gd7	Up	3.72075264164402	-3.10822256911949	-1.60069876776962
FBgn0028789	Region3935	Gd7	Up	2.23727522740934	-1.25890922323121	-1.77892998734082
FBgn0028789	Region3936	Gd7	Up	3.33996919864324	-2.28937571869284	-2.1070366687082
FBgn0041094	Region4075	Gd7	Up	2.39727105096738	-1.56021126183397	-1.62340131827171
FBgn0087007	Region4302	Gd7	Up	2.06410631632644	-1.91065054124618	-0.638605551005667
FBgn0087007	Region4312	Gd7	Up	3.34668780408583	-1.98530661504794	-2.52437426589149
FBgn0087007	Region4314	Gd7	Up	3.80401327079507	-2.8714292696998	-2.0465027698667
FBgn0025776	Region4368	Toll9	Up	0.112104958874249	-2.34105834993841	2.95948029753319
FBgn0025776	Region4371	Toll9	Up	-0.269507983119209	-1.41014407549208	2.30444670034647
FBgn0052182	Region4586	Toll10b	Up	-1.24384967015052	2.78292151260922	-1.79866923539164
FBgn0052182	Region4587	Toll10b	Up	-1.45006486162596	2.46816934652098	-1.05817568734182
FBgn0037207	Region4953	Toll10b	Up	-1.74233962504125	4.02067578037596	-2.68339910120754
FBgn0261434	Region5123	Toll9	Up	-2.12207490603811	-0.306163385226538	3.69511576309859
FBgn0001138	Region5463	Gd7	Up	2.63059479049171	-1.79360290391116	-1.6722827973176
FBgn0001138	Region5467	Gd7	Up	2.69521517971259	-1.47105786884608	-2.20398976269278
FBgn0266801	Region5495	Gd7	Up	2.42856441799184	-1.45066137572661	-1.81846012065007
FBgn0266801	Region5496	Gd7	Up	2.25826355779134	-1.6931391603058	-1.23029367357175
FBgn0043791	Region5591	Gd7	Up	2.79992493116004	-1.62795078690217	-2.15613053573601
FBgn0037819	Region5702	Toll10b	Up	-0.930679386871323	3.61519222761942	-3.39734515266943
FBgn0263316	Region5758	Gd7	Up	3.58472577712912	-2.76938158605196	-1.84357435926277
FBgn0038071	Region5841	Gd7	Up	2.59398195520747	-1.71807192676068	-1.71668230302385
FBgn0004666	Region5860	Toll10b	Up	-2.7792509917402	5.50799646944031	-3.06854476571059
FBgn0000576	Region5908	Toll9	Up	-1.76263727862711	-0.830521564542369	3.84038664844285
FBgn0020299	Region5966	Toll10b	Up	-0.862939522368529	2.19454452546598	-1.60096549146627
FBgn0020299	Region5967	Toll10b	Up	-2.78398818792224	4.04175919256942	-1.09894421565246
FBgn0020299	Region5968	Toll10b	Up	-1.27230621695203	2.45614903051781	-1.31729320639194
FBgn0265140	Region5978	Toll9	Up	-1.71239564399881	0.00764869464210502	2.64087910943346
FBgn0265140	Region5979	Toll9	Up	-4.78984222592166	1.54185934921871	5.35211863165666
FBgn0003117	Region6071	Gd7	Up	5.01648318208927	-3.09904932858972	-3.61901356175537
FBgn0003117	Region6072	Gd7	Up	2.49756689921989	-1.71153831878661	-1.5761573226892
FBgn0003117	Region6074	Gd7	Up	3.21934383419516	-2.36078236091763	-1.82472201269637
FBgn0003117	Region6076	Gd7	Up	2.34505358569603	-2.29144321794646	-0.563950428797563
FBgn0264005	Region6239	Toll10b	Down	2.24750806981013	-2.36681245011112	-0.312064647299783
FBgn0014135	Region6397	Gd7	Up	4.08942559035642	-1.82495584700802	-3.88887170722427
FBgn0014135	Region6401	Gd7	Up	2.1083040718465	-1.8050149090835	-0.848404361259074
FBgn0014135	Region6403	Gd7	Up	2.34605905225427	-1.33390475107685	-1.84698154355384
FBgn0004110	Region6500	Toll10b	Up	-3.64116458050615	5.85427039222317	-2.19755664091002
FBgn0004863	Region6515	Gd7	Up	4.79810670997864	-3.37228042015833	-2.91525971532214
FBgn0004863	Region6517	Gd7	Up	5.86350085479831	-4.45421040994124	-3.11674551094012
FBgn0039039	Region6630	Toll10b	Up	-1.29464799422039	2.41604292522764	-1.2290298387031
FBgn0039039	Region6631	Toll10b	Up	-2.36084454775596	2.98019212446808	-0.333355334287742
FBgn0004885	Region6754	Gd7	Up	2.19518695000581	-1.69982645896395	-1.12368942612952
FBgn0039288	Region6801	Gd7	Up	4.04289168086144	-2.78406153418795	-2.53325645901774
FBgn0002734	Region6844	Toll9	Up	-2.26095716619856	0.610185008468843	2.68378226103919
FBgn0002609	Region6856	Gd7	Down	-3.31823478365891	3.13837779154215	0.937167523413751
FBgn0002609	Region6859	Gd7	Down	-2.53687246351432	1.92439641625974	1.35214168567438
FBgn0002609	Region6860	Gd7	Down	-2.12646910868699	1.40814272154834	1.40766165739331
FBgn0262473	Region6882	Toll9	Down	1.953629091149	-0.523884837025883	-2.32347531539357
FBgn0262473	Region6883	Toll9	Down	2.15402155878761	-0.672137945756072	-2.4353138629047
FBgn0003137	Region6947	Toll10b	Up	-0.995312671027045	2.07938399168044	-1.24190715632653
FBgn0000492	Region7027	Toll9	Up	-0.256917533688148	-1.8335840264852	2.85164429042954
FBgn0000492	Region7028	Toll9	Up	-0.90427736861469	-0.883633261121941	2.58256106583338
FBgn0039679	Region7035	Toll9	Up	-1.03537797693703	-0.737576247494233	2.59006162265027
FBgn0004606	Region7115	Toll10b	Up	-2.14155787173051	3.60526051868607	-1.50938248064417
FBgn0004606	Region7120	Toll10b	Up	-2.65329629305226	4.3945240051242	-1.77338563647599
FBgn0005558	Region7239	Toll9	Up	-1.12997130891881	-0.857563319245263	2.89708894862592
FBgn0000137	Region7605	Gd7	Down	-2.04712092663843	1.04520377078171	1.77053699819054
FBgn0000137	Region7606	Gd7	Down	-2.01322891299438	0.847649729056386	1.98245241561036
FBgn0024250	Region8190	Gd7	Down	-3.23489815356811	3.22954929856341	0.686131613192812
FBgn0024250	Region8195	Gd7	Down	-4.38832692353336	2.01631209008054	4.09553582694307
FBgn0029943	Region8196	Gd7	Down	-3.60678360212603	1.51757188910378	3.55302195557087
